02C_sim,,05C_sim,,1C_sim,,2C_sim,,02C_ye,,05C_ye,,1C_ye,,2C_ye,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8250,3.676612698143596,6400.000000000001,3.4515588708993814,,,,,18096.836959416407,3.4607938143130443,,,,,,
8500,3.669305755700602,6600.000000000001,3.4354835975247946,,,,,18672.533876669026,3.4327865878225996,,,,,,
8750,3.661998813257608,6800.000000000001,3.4208697126388063,,,,,19219.107313926354,3.400914674634794,,,,,,
9000,3.654691870814614,7000.000000000001,3.4018716622870224,,,,,19772.336305155102,3.356894293066766,,,,,,
9250,3.64738492837162,7200.000000000001,3.3799508349580405,,,,,20331.92425030602,3.2256546155802317,,,,,,
9500.000000000004,3.640077985928626,7400.000000000001,3.350723065186064,,,,,20885.03762419073,2.790382986048974,,,,,,
9750,3.632771043485632,7600.000000000001,3.318572518436891,,,,,,,,,,,,
10000,3.628386878019836,7800.000000000001,3.2557328134271426,,,,,,,,,,,,
10250,3.6254641010426383,8000.000000000001,3.11251674154446,,,,,,,,,,,,
10500,3.618157158599644,8191.971017775039,2.737332309846508,,,,,,,,,,,,
10750.000000000004,3.6152343816224466,,,,,,,,,,,,,,
11000,3.6093888276680515,,,,,,,,,,,,,,
11250,3.6064660506908535,,,,,,,,,,,,,,
11500,3.6035432737136563,,,,,,,,,,,,,,
11750,3.5976977197592612,,,,,,,,,,,,,,
12000,3.594774942782063,,,,,,,,,,,,,,
12250,3.588929388827668,,,,,,,,,,,,,,
12500,3.5860066118504705,,,,,,,,,,,,,,
12750,3.5816224463846744,,,,,,,,,,,,,,
13000,3.5786996694074764,,,,,,,,,,,,,,
13250,3.57431550394168,,,,,,,,,,,,,,
13500,3.5713927269644827,,,,,,,,,,,,,,
13750,3.5655471730100876,,,,,,,,,,,,,,
14000,3.5626243960328896,,,,,,,,,,,,,,
14250,3.5597016190556925,,,,,,,,,,,,,,
14500,3.553856065101297,,,,,,,,,,,,,,
14750,3.5509332881240994,,,,,,,,,,,,,,
15000,3.5436263456811057,,,,,,,,,,,,,,
15250,3.5407035687039077,,,,,,,,,,,,,,
15500,3.536319403238111,,,,,,,,,,,,,,
15750,3.5290124607951174,,,,,,,,,,,,,,
16000,3.5217055183521238,,,,,,,,,,,,,,
16250,3.515859964397728,,,,,,,,,,,,,,
16500,3.511475798931932,,,,,,,,,,,,,,
16750,3.504168856488938,,,,,,,,,,,,,,
17000,3.496861914045944,,,,,,,,,,,,,,
17250,3.4880935831143507,,,,,,,,,,,,,,
17500,3.47786386369416,,,,,,,,,,,,,,
17750,3.4690955327625668,,,,,,,,,,,,,,
18000,3.4574044248537765,,,,,,,,,,,,,,
18250,3.450097482410782,,,,,,,,,,,,,,
18500,3.436944986013393,,,,,,,,,,,,,,
18750,3.4267152665932015,,,,,,,,,,,,,,
19000,3.4135627701958127,,,,,,,,,,,,,,
19250,3.3989488853098244,,,,,,,,,,,,,,
19500,3.3799508349580405,,,,,,,,,,,,,,
19750,3.3551072306518606,,,,,,,,,,,,,,
20000,3.317111129948292,,,,,,,,,,,,,,
20250,3.245503094006951,,,,,,,,,,,,,,
20500,3.1329761803848433,,,,,,,,,,,,,,
20637.594248850542,3.0331213993513724,,,,,,,,,,,,,,
20790.144911124808,2.916690684072222,,,,,,,,,,,,,,
21040.144911124808,2.6978003980924217,,,,,,,,,,,,,,
